participant_id,participant,experiment,exp_group,sex,age,stimulus,logdice,stim_code,source_code,source_type,is_drm,response,accuracy,rt,log_rt,rt_valid,list_num,word_num,list_half,interval,verbalization,interval_label,verbalization_label
Попова_д_2,2,Попова_д,EG2,m,32,мебель,9.15977871635753,1,1,self,0,1,1,0.986,-0.014098924379501648,True,5,5,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,спинка,11.5970062916951,1,0,partner,0,1,0,1.197,0.17981842657583616,True,5,6,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,ножки,9.95550601435996,1,1,self,0,0,0,0.613,-0.48939034304592566,True,5,7,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,сидение,8.42966610566237,1,0,partner,0,1,0,1.086,0.08250122151174377,True,5,8,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,табурет,8.49002950242967,1,1,self,0,1,1,1.147,0.13714983814723367,True,5,9,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,обед,6.77037437329366,1,0,partner,0,0,1,1.977,0.6815805441884799,True,5,10,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,стул,,2,2,drm,1,1,0,0.824,-0.1935847490726654,True,5,0,0,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,волны,10.2253084554615,1,1,self,0,1,1,1.273,0.2413763195752694,True,1,1,1,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,пляж,8.69750509701115,1,0,partner,0,0,1,1.283,0.24920108563349933,True,1,2,1,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,песок,9.04237722877322,1,1,self,0,1,1,2.273,0.8211005448704062,True,1,3,1,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,вода,9.73324032842172,1,0,partner,0,1,0,1.237,0.21268909341035092,True,1,4,1,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,спокойствие,6.90421485001336,1,1,self,0,0,0,0.725,-0.32158362412746233,True,1,5,1,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,закат,8.05763816589975,1,0,partner,0,1,0,1.013,0.01291622526654623,True,1,6,2,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,лето,8.41582156734133,1,1,self,0,0,0,1.654,0.5031965966014995,True,1,7,2,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,соль,7.88185157901076,1,0,partner,0,0,1,0.875,-0.13353139262452263,True,1,8,2,1,0,delayed,no_verb
Попова_д_3,3,Попова_д,EG2,f,24,чайка,8.3137989219784,1,1,self,0,0,0,1.283,0.24920108563349933,True,1,9,2,1,0,delayed,no_verb
